Item,Name,Type,SKU,Options,Inventory Tracking,Current Stock,Low Stock,Price,Cost Price,Retail Price,Sale Price,Channels,Categories,Description,Custom Fields,Page Title,Product URL,Meta Description,Search Keywords,Meta Keywords,Bin Picking Number,UPC/EAN,Global Trade Number,Manufacturer Part Number,Free Shipping,Fixed Shipping Cost,Weight,Width,Height,Depth,Is Visible,Is Featured,Warranty,Tax Class,Product Condition,Show Product Condition,Sort Order,Variant Image URL,Internal Image URL (Export),Image URL (Import),Image Description,Image is Thumbnail,Image Sort Order,YouTube ID,Video Title,Video Description,Video Sort Order
Product,Personalised Justice League Invitations,physical,23868,,none,0,0,6.99,0.86,0.00,0.00,1,65;66;79;241;369,<p>Celebrate your child's birthday in style with our all new Personalised Justice League Invitations. Just simply add your name in the box below to create your own unique invitations.</p>,,,/personalised-justice-league-invitations/,,,,,,,,FALSE,,0.1
Product,Girls Deluxe Shine Costume,physical,300238,,variant,4,8,33.99,3.16,0.00,14.99,1,24;28;33;35;45;47;86;107;118;397;753;92,"<p>If your little girl is a fan of Shimmer and Shine then this Deluxe Shine costume is the perfect fancy dress costume. She'll have a magical time playing as her favorite genie-in-training! Enjoy your own shimmer and shine adventures, If you could just find the magic lamp.</p>",,,/girls-deluxe-shine-costume/,,,,,,,,FALSE,,0.1
Product,007 Licence To Spill Baby Bib,physical,PBB25,,none,10000,0,8.49,2.10,0.00,0.00,1,79;358,<p>Keep feeding time mess free with our all new 007 Licence To Spill Bib. These bibs make fantastic gifts for newborn babies and you can personalise them with their very own name.</p>,,,/007-licence-to-spill-baby-bib/,,,,,,,,FALSE,,0.1
Product,100% Perfect Baby Vest,physical,PBV35,,none,30000,0,10.99,2.90,0.00,0.00,1,79;359,<p>Your baby is already the cutest ever but just think how funky they can be with our 100% Perfect Baby Vest Simply add your personalised message in the box below.</p>,,,/100-perfect-baby-vest/,,,,,,,,FALSE,,0.1
Product,100 Bulk Santa Hats,physical,BSH,,product,218,12,59.00,20.00,0.00,0.00,1,412;45;51,"<p>Transform your holiday festivities into a winter wonderland with our 100 Bulk Santa Hats, the perfect addition to any Christmas celebration. Crafted from a cozy red fleece-like material, each hat exudes festive charm and warmth, making them ideal for both indoor and outdoor events. The classic design features a plush white brim and a fluffy pom pom at the top, capturing the essence of the jolly spirit of Santa Claus himself.<br><br>These Santa hats are not just accessories; they are essential elements that bring joy and a sense of togetherness to every gathering. Whether you're throwing a Christmas party, hosting a corporate event, or spreading cheer at a community function, these hats are sure to delight guests of all ages. The one-size-fits-all design ensures that anyone can don one of these delightful hats, adding an element of fun and festivity to your occasion.<br><br>Convenience is key when planning large events, and our 100 Bulk Santa Hats come with the added bonus of free shipping, making your Christmas preparations as stress-free as possible. With a generous quantity, you'll have more than enough hats to share with family, friends, coworkers, and even passersby, ensuring everyone gets a taste of the Christmas spirit.<br><br>Don't let the festive season pass without the iconic Santa hat. Celebrate the joy of giving and togetherness with these charming accessories that create lasting memories. Designed for durability and comfort, the hats can be reused year after year, making them an excellent investment for all your future holiday celebrations. Make your event unforgettable with the cheerful allure of Santa hats that embody the magic of Christmas.</p>",,,/100-bulk-santa-hats/,,,,,,,,FALSE,,0.1
Product,100Yds Yellow Curling Ribbon,physical,48625,,product,7,12,2.49,0.85,0.00,0.00,1,45;53;55;60;65;66;67;68;70;72;84;217;233;235;236;238;239;241;242;244;249;250;251;254;257;265;270;271;274;276;280;284;290;337;339;443;459;462;473;502;503;504;505;506;507;610;613;629;656;663,"<div><span style=""font-size: small;"">This multipurpose <em>yellow curling ribbon</em> is a must have for every party! You can tie your own balloon bouquets, decorate your gifts and presents, make your own confetti by cutting the ribbon into smaller pieces and make ribbon curls simply by pulling the ribbon between a paper cutter or a blade of scissors and your thumb.</span></div>",,,/100yds-yellow-curling-ribbon/,,,,,,,,FALSE,,0.1
Product,10Pk Citrus Orange Balloons,physical,80013,,product,71,12,2.49,0.75,0.00,0.00,1,55;60;65;70;219;656;673;749;758;68;787,<p>Helium Balloons come in a wide selection of colours to suit any taste. Our Citrus Orange Balloons feature a pack of 10 Balloons which measure 12 inches in diameter. These Balloons are suitable for both air and helium inflation and are sold flat packed.&nbsp;</p>,,,/10pk-citrus-orange-balloons/,,,,,,,,FALSE,,0.1
Product,Personalised 1st Communion Boy Lollipops  (15 Pack),physical,PLP82,,none,0,0,8.49,1.65,0.00,0.00,1,45;46;55;63;79;163;366;466,"<p>Add an extra bit of sweetness to your big day with our 15 Pack of <span>Personalised </span>1st Communion Boy Lollipops. Simply add your personalised message in the box below and sit back and watch your guests faces as they savor this delightful treat. The personalised lollipops make for the perfect addition to party bags.</p> <h3>Features:</h3> <p>- Personalised 1st Communion Boy Lollipops (15 Pack).</p> <p>Lollipop Ingredients: Glucose, Sugar, Acid: Citric Acid, Flavours, Concentrate of Carrots, Safflower, Apple and Blackcurrant and Natural Colours: E100, E141.</p> <p><strong>Please Note: Please allow up to 2 working days for delivery of personalised items (ROI)&nbsp;</strong></p> <p><strong>Personalised items cannot be returned or refunded unless they are faulty.</strong></p>","[{""id"":199,""name"":""[C] Please ensure you have the correct spelling and grammer as printing mistakes cannot be undone"",""value"":""Yes""},{""id"":5170,""name"":""Theme"",""value"":""Communion Boy""}]",Personalised 1st Communion Boy Lollipops (15 Pack),/personalised-1st-communion-boy-lollipops-15-pack/,Shop for Personalised 1st Communion Boy Lollipops (15 Pack) online. Perfect for celebrating a special milestone in style.,"personalised communion, communion, Personalised 1st Communion Boy Lollipops (15 Pack),",Personalised 1st Communion Boy Lollipops (15 Pack),,,,,FALSE,0.00,0.1,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,3,,,,,,,,,,
Product,Personalised Boy Confirmation Choc Coins (15 Pack),physical,PCC13,,none,0,0,7.99,2.75,0.00,0.00,1,45;46;55;63;79;164;366;467,"<p>Add an extra bit of sweetness to your big day with our Personalised Boy Confirmation Choc Coins (15 Pack). Simply add your personalised message in the box below and sit back and watch your guests faces as they savor this delightful treat. The chocolate coins make for the perfect addition to party bags.</p> <h3>Quantity:</h3> <p>- Personalised Boy Confirmation Choc Coins (15 Pack).</p> <p>Chocolate Coins Ingredients: Milk Chocolate: Sugar, Cocoa butter, whole milk powder, Cocoa mass, Whey powder (Milk), Emulsifiers: SOYA lecithin, flavour. Allergy Advice! May contain traces of Nuts and Cereals (Gluten).</p> <p><strong>Please Note: Please allow up to 2 working days for delivery of personalised items (ROI)&nbsp;</strong></p> <p><strong>Personalised items cannot be returned or refunded unless they are faulty.</strong></p>","[{""id"":200,""name"":""[C] Please ensure you have the correct spelling and grammer as printing mistakes cannot be undone"",""value"":""Yes""},{""id"":5169,""name"":""Theme"",""value"":""Confirmation Boy""}]",Personalised Boy Confirmation Choc Coins (15 Pack),/personalised-boy-confirmation-choc-coins-15-pack/,Looking for Personalised Boy Confirmation Choc Coins (15 Pack)? Find the perfect sweet treats for your confirmation celebration here!,"Confirmation, Confirmation  decorations, persosanlised confirmation, Personalised Boy Confirmation Choc Coins (15 Pack),",,,,,,FALSE,0.00,0.1,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,3,,,,,,,,,,
Product,Personalised Girls Confirmation Lollipop (15 Pack),physical,PLP14,,none,0,0,8.49,1.65,0.00,0.00,1,45;46;55;63;79;164;366;466,"<p>Add an extra bit of sweetness to your big day with our Personalised Girls Confirmation Lollipop (15 Pack). Simply add your personalised message in the box below and sit back and watch your guests faces as they savor this delightful treat. The personalised lollipops make for the perfect addition to party bags.</p> <h3>Quantity:</h3> <p>- Personalised Girls Confirmation Lollipop (15 Pack).</p> <p>Lollipop Ingredients: Glucose, Sugar, Acid: Citric Acid, Flavours, Concentrate of Carrots, Safflower, Apple and Blackcurrant and Natural Colours: E100, E141.</p> <p><strong>Please Note: Please allow up to 2 working days for delivery of personalised items (ROI)&nbsp;</strong></p> <p><strong>Personalised items cannot be returned or refunded unless they are faulty.</strong></p>","[{""id"":201,""name"":""[C] Please ensure you have the correct spelling and grammer as printing mistakes cannot be undone"",""value"":""Yes""},{""id"":5168,""name"":""Theme"",""value"":""Confirmation Girl""}]",Personalised Girls Confirmation Lollipop (15 Pack),/personalised-girls-confirmation-lollipop-15-pack/,Looking for Personalised Girls Confirmation Lollipop (15 Pack)? Get this sweet treat for your event in this convenient pack of 15 lollipops.,"Confirmation, Confirmation  decorations, personalised confirmation, Personalised Girls Confirmation Lollipop (15 Pack),",,,,,,FALSE,0.00,0.1,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,3,,,,,,,,,,
